SSID_MAC주소,지하철역명,지하철호선ID
12:16:1f:03:4d:6e,흑석,1009
00:40:5a:bb:34:52,잠실,1008
06:30:0d:84:f0:c2,잠실,1008
00:07:89:0f:d9:11,잠실,1008
00:40:5a:bb:1a:22,잠실,1008
0a:30:0d:84:f0:d2,잠실,1008
06:30:0d:84:ef:02,잠실,1008
00:40:5a:af:23:c3,구반포,1009
00:07:89:10:43:aa,구반포,1009
06:17:b2:04:50:3a,구반포,1009
00:07:89:10:47:ef,구반포,1009
02:17:b2:02:55:ea,구반포,1009
04:17:b2:04:55:e8,구반포,1009
02:17:b2:02:55:e8,구반포,1009
04:17:b2:04:65:e4,구반포,1009
04:17:b2:04:50:38,구반포,1009
02:07:89:10:47:ef,구반포,1009
02:17:b2:02:50:38,구반포,1009
02:07:89:10:43:aa,구반포,1009
00:30:0d:58:89:80,구반포,1009
02:17:b2:02:55:c6,구반포,1009
02:07:89:10:5c:4c,구반포,1009
00:07:89:10:5c:4c,구반포,1009
02:30:0d:58:89:80,구반포,1009
04:17:b2:04:55:c4,구반포,1009
12:16:1f:03:63:fe,신반포,1009
00:40:5a:af:35:ca,신반포,1009
00:25:a6:a4:ea:13,신반포,1009
12:16:1f:03:75:42,신반포,1009
00:40:5a:af:13:fa,신반포,1009
12:16:1f:03:51:1e,신반포,1009
00:40:5a:af:35:cb,신반포,1009
00:16:1f:03:63:fe,신반포,1009
00:25:a6:a4:ea:14,신반포,1009
00:16:1f:03:75:42,신반포,1009
00:16:1f:03:6d:af,신반포,1009
12:16:1f:03:63:ff,신반포,1009
12:16:1f:03:75:43,신반포,1009
00:40:5a:af:25:8a,신반포,1009
12:16:1f:03:6d:af,신반포,1009
12:16:1f:03:51:1f,신반포,1009
00:16:1f:03:75:43,신반포,1009
00:40:5a:af:25:8b,신반포,1009
00:16:1f:03:6d:ae,신반포,1009
00:40:5a:af:13:fb,신반포,1009
00:16:1f:03:80:d3,문정,1008
00:40:5a:bb:36:13,문정,1008
12:16:1f:03:80:d2,문정,1008
00:40:5a:bb:36:12,문정,1008
02:07:89:14:6c:70,문정,1008
