﻿SSID_MAC주소,SSID등록통신사,지하철역ID,지하철역명,지하철호선ID,WIFI신호세기
﻿00:30:0d:73:1d:10,﻿T wifi zone,﻿1006000635,﻿신당,﻿1006,﻿-82
﻿00:30:0d:75:cd:10,﻿T wifi zone,﻿1006000635,﻿신당,﻿1006,﻿-77
﻿00:09:b4:61:37:17,﻿ollehWiFi,﻿1006000635,﻿신당,﻿1006,﻿-83
﻿06:30:0d:75:cf:81,﻿T wifi zone_secure,﻿1006000635,﻿신당,﻿1006,﻿-74
﻿00:30:0d:75:cd:00,﻿T wifi zone_1,﻿1006000635,﻿신당,﻿1006,﻿-77
﻿00:30:0d:75:cf:80,﻿T wifi zone_1,﻿1006000635,﻿신당,﻿1006,﻿-77
﻿00:09:b4:61:43:a7,﻿ollehWiFi,﻿1006000635,﻿신당,﻿1006,﻿-84
﻿00:40:5a:c8:45:ca,﻿U+zone,﻿1006000635,﻿신당,﻿1006,﻿-87
﻿02:09:b4:61:37:17,﻿ollehWiFi,﻿1006000635,﻿신당,﻿1006,﻿-83
﻿00:40:5a:c8:45:cb,﻿FREE_U+zone,﻿1006000635,﻿신당,﻿1006,﻿-87
﻿06:30:0d:73:1d:01,﻿T wifi zone_secure,﻿1006000635,﻿신당,﻿1006,﻿-53
﻿00:09:b4:61:34:ea,﻿ollehWiFi,﻿1006000635,﻿신당,﻿1006,﻿-53
﻿00:07:89:10:4a:67,﻿ollehWiFi,﻿1006000635,﻿신당,﻿1006,﻿-62
﻿00:40:5a:c7:b6:0a,﻿U+zone,﻿1006000635,﻿신당,﻿1006,﻿-74
﻿00:09:b4:61:43:e6,﻿ollehWiFi,﻿1006000635,﻿신당,﻿1006,﻿-47
﻿00:16:1f:03:4b:aa,﻿T wifi zone_1,﻿1006000620,﻿마포구청,﻿1006,﻿-77
﻿00:25:a6:a4:fd:c4,﻿ollehWiFi,﻿1006000620,﻿마포구청,﻿1006,﻿-84
﻿12:16:1f:03:5e:83,﻿T wifi zone_secure,﻿1006000621,﻿망원,﻿1006,﻿-89
﻿00:40:5a:bb:35:52,﻿U+zone,﻿1006000621,﻿망원,﻿1006,﻿-63
